win_id,file,i0,i1,fs,t0,t1,y_defect,y_type,severity,confidence,notes,rpm,Z,dmm,Dmm,theta,mains_hz
current_1.csv:91200:94400,current_1.csv,91200,94400,3200,28.5,29.5,0,normal,9.90490320873505e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:96000:99200,current_1.csv,96000,99200,3200,30.0,31.0,0,normal,6.052393928257516e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:108800:112000,current_1.csv,108800,112000,3200,34.0,35.0,0,normal,9.796991662369692e-08,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:86400:89600,current_1.csv,86400,89600,3200,27.0,28.0,0,normal,1.1551877605597838e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:180800:184000,current_1.csv,180800,184000,3200,56.5,57.5,0,normal,2.530798326461081e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:166400:169600,current_1.csv,166400,169600,3200,52.0,53.0,0,normal,9.418379249837017e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:169600:172800,current_1.csv,169600,172800,3200,53.0,54.0,0,normal,1.108964625018416e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:153600:156800,current_1.csv,153600,156800,3200,48.0,49.0,0,normal,1.1049728527723346e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:112000:115200,current_1.csv,112000,115200,3200,35.0,36.0,0,normal,5.62583352348156e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:110400:113600,current_1.csv,110400,113600,3200,34.5,35.5,0,normal,1.1041195193683961e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:128000:131200,current_1.csv,128000,131200,3200,40.0,41.0,0,normal,4.598230987085117e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:94400:97600,current_1.csv,94400,97600,3200,29.5,30.5,0,normal,1.1991305655101314e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:150400:153600,current_1.csv,150400,153600,3200,47.0,48.0,0,normal,9.890356977848569e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:78400:81600,current_1.csv,78400,81600,3200,24.5,25.5,0,normal,1.1676835356411175e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:139200:142400,current_1.csv,139200,142400,3200,43.5,44.5,0,normal,7.416021503559023e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:217600:220800,current_10.csv,217600,220800,3200,68.0,69.0,0,normal,6.918118629073433e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:171200:174400,current_10.csv,171200,174400,3200,53.5,54.5,0,normal,8.298740681311756e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:97600:100800,current_10.csv,97600,100800,3200,30.5,31.5,0,normal,1.1320454404994962e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:286400:289600,current_10.csv,286400,289600,3200,89.5,90.5,0,normal,8.182569786185923e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:113600:116800,current_10.csv,113600,116800,3200,35.5,36.5,0,normal,6.929242317710305e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:206400:209600,current_10.csv,206400,209600,3200,64.5,65.5,0,normal,4.651361678043031e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:153600:156800,current_10.csv,153600,156800,3200,48.0,49.0,0,normal,9.192319794237847e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:145600:148800,current_10.csv,145600,148800,3200,45.5,46.5,0,normal,6.478266527665255e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:200000:203200,current_10.csv,200000,203200,3200,62.5,63.5,0,normal,7.59774820835446e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:211200:214400,current_10.csv,211200,214400,3200,66.0,67.0,0,normal,9.727092447064933e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:68800:72000,current_10.csv,68800,72000,3200,21.5,22.5,0,normal,2.0449064663807803e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:350400:353600,current_10.csv,350400,353600,3200,109.5,110.5,0,normal,5.851392188560567e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:304000:307200,current_10.csv,304000,307200,3200,95.0,96.0,0,normal,7.315844641198055e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:259200:262400,current_10.csv,259200,262400,3200,81.0,82.0,0,normal,1.964095446282954e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:22400:25600,current_10.csv,22400,25600,3200,7.0,8.0,0,normal,2.792468478673982e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_11.csv:72000:75200,current_11.csv,72000,75200,3200,22.5,23.5,0,normal,7.363633631030098e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:35200:38400,current_11.csv,35200,38400,3200,11.0,12.0,0,normal,3.525921420077793e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:43200:46400,current_11.csv,43200,46400,3200,13.5,14.5,0,normal,2.3003076421446167e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:134400:137600,current_11.csv,134400,137600,3200,42.0,43.0,0,normal,4.51744235760998e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:86400:89600,current_11.csv,86400,89600,3200,27.0,28.0,0,normal,5.699165922123939e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:121600:124800,current_11.csv,121600,124800,3200,38.0,39.0,0,normal,6.644507811870426e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:19200:22400,current_11.csv,19200,22400,3200,6.0,7.0,0,normal,2.2488160539069213e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:188800:192000,current_11.csv,188800,192000,3200,59.0,60.0,0,normal,2.5404298867215402e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:28800:32000,current_11.csv,28800,32000,3200,9.0,10.0,0,normal,8.013066690182313e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:12800:16000,current_11.csv,12800,16000,3200,4.0,5.0,0,normal,8.343916306330357e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
