win_id,file,i0,i1,fs,t0,t1,y_defect,y_type,severity,confidence,notes,rpm,Z,dmm,Dmm,theta,mains_hz
current_1.csv:91200:94400,current_1.csv,91200,94400,3200,28.5,29.5,0,normal,2.23092229134636e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:96000:99200,current_1.csv,96000,99200,3200,30.0,31.0,0,normal,2.5487153834546916e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:108800:112000,current_1.csv,108800,112000,3200,34.0,35.0,0,normal,1.022237029246753e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:86400:89600,current_1.csv,86400,89600,3200,27.0,28.0,0,normal,1.0338478205085266e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:180800:184000,current_1.csv,180800,184000,3200,56.5,57.5,0,normal,5.5199993767018896e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:166400:169600,current_1.csv,166400,169600,3200,52.0,53.0,0,normal,2.2146305127535015e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:169600:172800,current_1.csv,169600,172800,3200,53.0,54.0,0,normal,1.2880655049229972e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:153600:156800,current_1.csv,153600,156800,3200,48.0,49.0,0,normal,9.767443771124817e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:112000:115200,current_1.csv,112000,115200,3200,35.0,36.0,0,normal,2.3846559997764416e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:110400:113600,current_1.csv,110400,113600,3200,34.5,35.5,0,normal,1.2500369848567061e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:128000:131200,current_1.csv,128000,131200,3200,40.0,41.0,0,normal,1.970758785319049e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:94400:97600,current_1.csv,94400,97600,3200,29.5,30.5,0,normal,1.2209326087031513e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:150400:153600,current_1.csv,150400,153600,3200,47.0,48.0,0,normal,2.123278500221204e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:78400:81600,current_1.csv,78400,81600,3200,24.5,25.5,0,normal,9.528313057671767e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_1.csv:139200:142400,current_1.csv,139200,142400,3200,43.5,44.5,0,normal,2.9052902391413227e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:217600:220800,current_10.csv,217600,220800,3200,68.0,69.0,0,normal,2.8784634196199477e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:171200:174400,current_10.csv,171200,174400,3200,53.5,54.5,0,normal,3.190302959410474e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:97600:100800,current_10.csv,97600,100800,3200,30.5,31.5,0,normal,2.3235643311636522e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:286400:289600,current_10.csv,286400,289600,3200,89.5,90.5,0,normal,2.796130684146192e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:113600:116800,current_10.csv,113600,116800,3200,35.5,36.5,0,normal,3.085603020736016e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:206400:209600,current_10.csv,206400,209600,3200,64.5,65.5,0,normal,2.4611150365672074e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:153600:156800,current_10.csv,153600,156800,3200,48.0,49.0,0,normal,3.301085234852508e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:145600:148800,current_10.csv,145600,148800,3200,45.5,46.5,0,normal,2.731909989961423e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:200000:203200,current_10.csv,200000,203200,3200,62.5,63.5,0,normal,3.0176037398632616e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:211200:214400,current_10.csv,211200,214400,3200,66.0,67.0,0,normal,3.6216813896317035e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:68800:72000,current_10.csv,68800,72000,3200,21.5,22.5,0,normal,2.588983306850423e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:350400:353600,current_10.csv,350400,353600,3200,109.5,110.5,0,normal,2.3264339688466862e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:304000:307200,current_10.csv,304000,307200,3200,95.0,96.0,0,normal,2.9708462534472346e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:259200:262400,current_10.csv,259200,262400,3200,81.0,82.0,0,normal,2.4045245936576976e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_10.csv:22400:25600,current_10.csv,22400,25600,3200,7.0,8.0,0,normal,1.2194428791190148e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_11.csv:72000:75200,current_11.csv,72000,75200,3200,22.5,23.5,0,normal,1.4088170246395748e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:35200:38400,current_11.csv,35200,38400,3200,11.0,12.0,0,normal,1.906053330458235e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:43200:46400,current_11.csv,43200,46400,3200,13.5,14.5,0,normal,1.881582647911273e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:134400:137600,current_11.csv,134400,137600,3200,42.0,43.0,0,normal,7.500726439957361e-08,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:86400:89600,current_11.csv,86400,89600,3200,27.0,28.0,0,normal,1.0568315929049277e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:121600:124800,current_11.csv,121600,124800,3200,38.0,39.0,0,normal,2.335242425033357e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:19200:22400,current_11.csv,19200,22400,3200,6.0,7.0,0,normal,1.7766529708751477e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:188800:192000,current_11.csv,188800,192000,3200,59.0,60.0,0,normal,1.3969210158393253e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:28800:32000,current_11.csv,28800,32000,3200,9.0,10.0,0,normal,1.7223793520315667e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:12800:16000,current_11.csv,12800,16000,3200,4.0,5.0,0,normal,1.0540345556364628e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:152000:155200,current_11.csv,152000,155200,3200,47.5,48.5,0,normal,8.39491985971108e-06,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:17600:20800,current_11.csv,17600,20800,3200,5.5,6.5,0,normal,2.4598019081167877e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:172800:176000,current_11.csv,172800,176000,3200,54.0,55.0,0,normal,1.4450668459176086e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:32000:35200,current_11.csv,32000,35200,3200,10.0,11.0,0,normal,2.1050485884188674e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_11.csv:89600:92800,current_11.csv,89600,92800,3200,28.0,29.0,0,normal,3.118081440334208e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,60.0
current_12.csv:348800:352000,current_12.csv,348800,352000,3200,109.0,110.0,0,normal,3.7355282984208316e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_12.csv:347200:350400,current_12.csv,347200,350400,3200,108.5,109.5,0,normal,5.521958996723697e-07,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
current_12.csv:115200:118400,current_12.csv,115200,118400,3200,36.0,37.0,0,normal,3.261330857640132e-05,0.5,auto-normal,1770.0,9,7.94,38.5,0,50.0
