win_id,file,i0,i1,fs,t0,t1,y_defect,y_type,severity,confidence,notes,rpm,Z,dmm,Dmm,theta,mains_hz,rpm_est,carrier_hz,phase_idx
current_1.csv:163840:174080,current_1.csv,163840,174080,5120,32.0,34.0,1,imbalance,17.496030807495117,0.95,auto-imbalance snr=409.93 e_rel=0.0678,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,2.0
current_1.csv:97280:107520,current_1.csv,97280,107520,5120,19.0,21.0,1,imbalance,21.417688369750977,0.523610393036281,auto-imbalance snr=1.27 e_rel=0.0156,1770.0,9,7.94,38.5,0,50.0,1425.0,100.0,0.0
current_1.csv:158720:168960,current_1.csv,158720,168960,5120,31.0,33.0,1,FTF,17.54308319091797,0.5053855023742592,auto-FTF snr=1.06 e_rel=0.0398,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,2.0
current_1.csv:220160:230400,current_1.csv,220160,230400,5120,43.0,45.0,1,FTF,18.92794418334961,0.5004154472976794,auto-FTF snr=1.00 e_rel=0.0390,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_1.csv:5120:15360,current_1.csv,5120,15360,5120,1.0,3.0,1,FTF,38.60871887207031,0.45122339227384495,auto-FTF snr=0.44 e_rel=0.0961,1770.0,9,7.94,38.5,0,50.0,1500.0,100.0,2.0
current_1.csv:250880:261120,current_1.csv,250880,261120,5120,49.0,51.0,1,FTF,21.67288589477539,0.4489516860863064,auto-FTF snr=0.41 e_rel=0.0539,1770.0,9,7.94,38.5,0,50.0,1425.0,100.0,1.0
current_1.csv:204800:215040,current_1.csv,204800,215040,5120,40.0,42.0,1,FTF,23.674230575561523,0.4484724089315747,auto-FTF snr=0.41 e_rel=0.0585,1770.0,9,7.94,38.5,0,50.0,1500.0,100.0,1.0
current_1.csv:35840:46080,current_1.csv,35840,46080,5120,7.0,9.0,1,FTF,18.480274200439453,0.4413434408350506,auto-FTF snr=0.33 e_rel=0.0451,1770.0,9,7.94,38.5,0,50.0,1425.0,100.0,1.0
current_1.csv:143360:153600,current_1.csv,143360,153600,5120,28.0,30.0,1,FTF,24.990371704101562,0.44104102047511484,auto-FTF snr=0.32 e_rel=0.0619,1770.0,9,7.94,38.5,0,50.0,1500.0,100.0,2.0
current_1.csv:235520:245760,current_1.csv,235520,245760,5120,46.0,48.0,1,FTF,19.042146682739258,0.44086162857523337,auto-FTF snr=0.32 e_rel=0.0469,1770.0,9,7.94,38.5,0,50.0,1425.0,100.0,2.0
current_1.csv:56320:66560,current_1.csv,56320,66560,5120,11.0,13.0,1,FTF,19.85792350769043,0.4390415230238782,auto-FTF snr=0.30 e_rel=0.0488,1770.0,9,7.94,38.5,0,50.0,1500.0,100.0,2.0
current_1.csv:266240:276480,current_1.csv,266240,276480,5120,52.0,54.0,1,FTF,30.436870574951172,0.43857119113411597,auto-FTF snr=0.29 e_rel=0.0760,1770.0,9,7.94,38.5,0,50.0,1500.0,100.0,2.0
current_1.csv:286720:296960,current_1.csv,286720,296960,5120,56.0,58.0,1,FTF,23.283796310424805,0.4382500970771798,auto-FTF snr=0.29 e_rel=0.0571,1770.0,9,7.94,38.5,0,50.0,1350.0,100.0,1.0
current_1.csv:20480:30720,current_1.csv,20480,30720,5120,4.0,6.0,1,FTF,9.69759750366211,0.43745138758016466,auto-FTF snr=0.28 e_rel=0.0239,1770.0,9,7.94,38.5,0,50.0,1425.0,100.0,0.0
current_10.csv:450560:460800,current_10.csv,450560,460800,5120,88.0,90.0,1,imbalance,30.964035034179688,0.95,auto-imbalance snr=672.81 e_rel=0.1714,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,0.0
current_10.csv:578560:588800,current_10.csv,578560,588800,5120,113.0,115.0,1,imbalance,31.66975975036621,0.95,auto-imbalance snr=577.63 e_rel=0.1810,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,0.0
current_10.csv:435200:445440,current_10.csv,435200,445440,5120,85.0,87.0,1,imbalance,32.761322021484375,0.95,auto-imbalance snr=560.78 e_rel=0.1590,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,0.0
current_10.csv:378880:389120,current_10.csv,378880,389120,5120,74.0,76.0,1,imbalance,24.592071533203125,0.95,auto-imbalance snr=553.34 e_rel=0.1432,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,2.0
current_10.csv:199680:209920,current_10.csv,199680,209920,5120,39.0,41.0,1,imbalance,32.81465530395508,0.95,auto-imbalance snr=545.31 e_rel=0.1887,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,2.0
current_10.csv:358400:368640,current_10.csv,358400,368640,5120,70.0,72.0,1,imbalance,32.34763717651367,0.95,auto-imbalance snr=543.31 e_rel=0.1793,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,2.0
current_10.csv:163840:174080,current_10.csv,163840,174080,5120,32.0,34.0,1,imbalance,31.69479751586914,0.95,auto-imbalance snr=541.58 e_rel=0.1780,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,0.0
current_10.csv:409600:419840,current_10.csv,409600,419840,5120,80.0,82.0,1,imbalance,28.995275497436523,0.95,auto-imbalance snr=534.97 e_rel=0.1598,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_10.csv:61440:71680,current_10.csv,61440,71680,5120,12.0,14.0,1,imbalance,32.81562042236328,0.95,auto-imbalance snr=532.61 e_rel=0.1809,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,2.0
current_10.csv:542720:552960,current_10.csv,542720,552960,5120,106.0,108.0,1,imbalance,29.276058197021484,0.95,auto-imbalance snr=531.78 e_rel=0.1700,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_10.csv:501760:512000,current_10.csv,501760,512000,5120,98.0,100.0,1,imbalance,29.12552261352539,0.95,auto-imbalance snr=511.33 e_rel=0.1649,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,2.0
current_10.csv:20480:30720,current_10.csv,20480,30720,5120,4.0,6.0,1,imbalance,33.12580490112305,0.95,auto-imbalance snr=509.88 e_rel=0.1745,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,0.0
current_10.csv:250880:261120,current_10.csv,250880,261120,5120,49.0,51.0,1,imbalance,34.51136016845703,0.95,auto-imbalance snr=504.89 e_rel=0.1870,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_10.csv:307200:317440,current_10.csv,307200,317440,5120,60.0,62.0,1,FTF,34.45991516113281,0.5442645677780902,auto-FTF snr=1.51 e_rel=0.0774,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,0.0
current_10.csv:261120:271360,current_10.csv,261120,271360,5120,51.0,53.0,1,FTF,32.87527084350586,0.533654078381195,auto-FTF snr=1.39 e_rel=0.0783,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,0.0
current_10.csv:81920:92160,current_10.csv,81920,92160,5120,16.0,18.0,1,FTF,33.17750549316406,0.5244899113099476,auto-FTF snr=1.28 e_rel=0.0783,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_11.csv:20480:30720,current_11.csv,20480,30720,5120,4.0,6.0,1,imbalance,49.57275390625,0.95,auto-imbalance snr=116.71 e_rel=0.2677,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:209920:220160,current_11.csv,209920,220160,5120,41.0,43.0,1,imbalance,55.31244659423828,0.95,auto-imbalance snr=87.68 e_rel=0.3111,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:61440:71680,current_11.csv,61440,71680,5120,12.0,14.0,1,imbalance,43.373043060302734,0.95,auto-imbalance snr=71.77 e_rel=0.2512,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:117760:128000,current_11.csv,117760,128000,5120,23.0,25.0,1,imbalance,49.62494659423828,0.95,auto-imbalance snr=71.11 e_rel=0.2727,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:250880:261120,current_11.csv,250880,261120,5120,49.0,51.0,1,misalignment,48.649967193603516,0.95,auto-misalignment snr=15.30 e_rel=0.0028,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:276480:286720,current_11.csv,276480,286720,5120,54.0,56.0,1,misalignment,50.19512939453125,0.95,auto-misalignment snr=12.23 e_rel=0.0024,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:148480:158720,current_11.csv,148480,158720,5120,29.0,31.0,1,misalignment,46.59050750732422,0.95,auto-misalignment snr=11.68 e_rel=0.0023,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:199680:209920,current_11.csv,199680,209920,5120,39.0,41.0,1,misalignment,47.1849365234375,0.95,auto-misalignment snr=11.55 e_rel=0.0025,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:133120:143360,current_11.csv,133120,143360,5120,26.0,28.0,1,misalignment,49.65061569213867,0.95,auto-misalignment snr=11.06 e_rel=0.0024,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:76800:87040,current_11.csv,76800,87040,5120,15.0,17.0,1,FTF,39.088462829589844,0.4531058173807207,auto-FTF snr=0.46 e_rel=0.0970,1770.0,9,7.94,38.5,0,60.0,2250.0,120.0,0.0
current_11.csv:174080:184320,current_11.csv,174080,184320,5120,34.0,36.0,1,FTF,51.667938232421875,0.421682251038311,auto-FTF snr=0.10 e_rel=0.1278,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:266240:276480,current_11.csv,266240,276480,5120,52.0,54.0,1,FTF,41.033634185791016,0.4216780020916988,auto-FTF snr=0.10 e_rel=0.1017,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:102400:112640,current_11.csv,102400,112640,5120,20.0,22.0,1,FTF,43.632816314697266,0.42075411801375245,auto-FTF snr=0.09 e_rel=0.1091,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:240640:250880,current_11.csv,240640,250880,5120,47.0,49.0,1,FTF,46.83543014526367,0.41994750068930975,auto-FTF snr=0.08 e_rel=0.1163,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:153600:163840,current_11.csv,153600,163840,5120,30.0,32.0,1,FTF,47.224945068359375,0.4197348599042051,auto-FTF snr=0.07 e_rel=0.1180,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:138240:148480,current_11.csv,138240,148480,5120,27.0,29.0,1,FTF,47.463016510009766,0.4197152496420763,auto-FTF snr=0.07 e_rel=0.1181,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:281600:291840,current_11.csv,281600,291840,5120,55.0,57.0,1,FTF,47.88774108886719,0.41958855682406215,auto-FTF snr=0.07 e_rel=0.1195,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:215040:225280,current_11.csv,215040,225280,5120,42.0,44.0,1,FTF,44.01073455810547,0.4193703409697626,auto-FTF snr=0.07 e_rel=0.1092,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:0:10240,current_11.csv,0,10240,5120,0.0,2.0,1,FTF,48.698699951171875,0.4191784373410956,auto-FTF snr=0.07 e_rel=0.1215,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:189440:199680,current_11.csv,189440,199680,5120,37.0,39.0,1,FTF,44.57495880126953,0.4190444564097433,auto-FTF snr=0.07 e_rel=0.1107,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:51200:61440,current_11.csv,51200,61440,5120,10.0,12.0,1,FTF,44.54376220703125,0.41885983787963893,auto-FTF snr=0.06 e_rel=0.1113,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_11.csv:35840:46080,current_11.csv,35840,46080,5120,7.0,9.0,1,FTF,42.49945068359375,0.41853214525704385,auto-FTF snr=0.06 e_rel=0.1060,1770.0,9,7.94,38.5,0,60.0,1425.0,60.0,0.0
current_12.csv:302080:312320,current_12.csv,302080,312320,5120,59.0,61.0,1,imbalance,20.331167221069336,0.95,auto-imbalance snr=538.17 e_rel=0.1126,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_12.csv:168960:179200,current_12.csv,168960,179200,5120,33.0,35.0,1,imbalance,19.073955535888672,0.95,auto-imbalance snr=492.04 e_rel=0.1118,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_12.csv:20480:30720,current_12.csv,20480,30720,5120,4.0,6.0,1,imbalance,22.571372985839844,0.95,auto-imbalance snr=483.18 e_rel=0.1261,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_12.csv:435200:445440,current_12.csv,435200,445440,5120,85.0,87.0,1,imbalance,22.989253997802734,0.95,auto-imbalance snr=479.74 e_rel=0.1250,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,1.0
current_12.csv:378880:389120,current_12.csv,378880,389120,5120,74.0,76.0,1,imbalance,26.462282180786133,0.95,auto-imbalance snr=458.42 e_rel=0.1360,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,2.0
current_12.csv:35840:46080,current_12.csv,35840,46080,5120,7.0,9.0,1,imbalance,24.08503532409668,0.95,auto-imbalance snr=418.53 e_rel=0.1329,1770.0,9,7.94,38.5,0,50.0,1425.0,50.0,0.0
